"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
137,"COO","Cooper Companies, Inc","Healthcare","Medical Instruments & Supplies","USA",16291.65,44.53,83.45,0.38%,2514881
138,"COR","Cencora Inc","Healthcare","Medical Distribution","USA",65131.36,42.22,335.69,-0.01%,917905
139,"CORZ","Core Scientific Inc","Technology","Software - Infrastructure","USA",5171.82,123.04,17.14,2.76%,8587736
140,"CPRI","Capri Holdings Ltd","Consumer Cyclical","Luxury Goods","United Kingdom",3117.98,,26.12,-0.19%,1866292
141,"CPRX","Catalyst Pharmaceuticals Inc","Healthcare","Biotechnology","USA",2777.82,13.26,22.72,0.53%,1374404
142,"CRDO","Credo Technology Group Holding Ltd","Technology","Semiconductors","Cayman Islands",25575.64,131.30,150.42,6.24%,7517330
143,"CRH","CRH Plc","Basic Materials","Building Materials","USA",87917.30,26.14,131.38,5.40%,5649773
144,"CRSP","CRISPR Therapeutics AG","Healthcare","Biotechnology","Switzerland",5374.93,,53.84,-4.54%,2100794
145,"CRWD","Crowdstrike Holdings Inc","Technology","Software - Infrastructure","USA",116940.90,,470.61,1.45%,2397478
146,"CSCO","Cisco Systems, Inc","Technology","Communication Equipment","USA",292222.94,27.86,73.88,-0.11%,19104125
147,"CSTM","Constellium SE","Basic Materials","Aluminum","France",2790.49,25.93,20.84,2.91%,1842749
148,"CSX","CSX Corp","Industrials","Railroads","USA",65770.68,22.88,35.20,-0.34%,14253677
149,"CTRE","CareTrust REIT Inc","Real Estate","REIT - Healthcare Facilities","USA",8246.48,27.81,37.33,1.08%,2326059
150,"CTRI","Centuri Holdings Inc","Utilities","Utilities - Regulated Gas","USA",2628.90,942.50,26.39,-0.04%,787967
151,"CTSH","Cognizant Technology Solutions Corp","Technology","Information Technology Services","USA",41150.44,19.76,85.26,-0.59%,3235957
152,"CUK","Carnival plc ADR","Consumer Cyclical","Travel Services","United Kingdom",4637.68,15.93,31.85,1.40%,1584674
153,"CVBF","CVB Financial Corp","Financial","Banks - Regional","USA",2651.39,13.14,19.39,-0.87%,1140291
154,"CVNA","Carvana Co","Consumer Cyclical","Auto & Truck Dealerships","USA",96279.82,105.49,463.09,4.63%,3257033
155,"CVX","Chevron Corp","Energy","Oil & Gas Integrated","USA",320653.32,22.89,162.11,1.80%,12549643
156,"CWEN","Clearway Energy Inc","Utilities","Utilities - Renewable","USA",6459.37,13.69,32.03,-1.05%,781089
157,"CWK","Cushman & Wakefield Ltd","Real Estate","Real Estate Services","Bermuda",3814.53,17.42,16.62,0.91%,2294388
158,"CX","Cemex S.A.B. De C.V. ADR","Basic Materials","Building Materials","Mexico",18775.31,13.40,12.42,1.22%,5892159
159,"CYTK","Cytokinetics Inc","Healthcare","Biotechnology","USA",7741.82,,62.51,-1.28%,2482911
160,"DAL","Delta Air Lines, Inc","Industrials","Airlines","USA",47215.74,10.19,72.31,1.43%,7971412
161,"DAN","Dana Inc","Consumer Cyclical","Auto Parts","USA",3117.22,60.41,26.69,0.04%,1875279
162,"DAR","Darling Ingredients Inc","Consumer Defensive","Packaged Foods","USA",6060.11,58.49,39.08,2.01%,1704529
163,"DAY","Dayforce Inc","Technology","Software - Application","USA",11111.23,,69.42,-0.01%,1696927
164,"DB","Deutsche Bank AG","Financial","Banks - Regional","Germany",71840.29,11.26,38.35,-1.24%,2452031
165,"DBRG","DigitalBridge Group Inc","Financial","Asset Management","USA",2896.78,216.34,15.36,-0.07%,3033443
