contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,volume_nonzero,oi_ov,bas,ticker,expiry
SOFI260320C00025000,2026-01-09 20:34:05+00:00,25.0,4.3,4.25,4.35,-0.33999968,-7.3275795,307.0,12830,0.6555210229492189,True,REGULAR,USD,307.0,41.79153094462541,0.09999999999999964,SOFI,2026-03-20
SOFI260320C00028000,2026-01-09 20:57:33+00:00,28.0,2.75,2.7,2.78,-0.26,-8.637874,646.0,5639,0.6372106591796876,False,REGULAR,USD,646.0,8.729102167182663,0.07999999999999963,SOFI,2026-03-20
SOFI260320C00030000,2026-01-09 20:59:56+00:00,30.0,1.97,1.94,2.0,-0.18000007,-8.372096,1556.0,21904,0.6293982373046876,False,REGULAR,USD,1556.0,14.077120822622108,0.06000000000000005,SOFI,2026-03-20
SOFI260320C00031000,2026-01-09 20:47:49+00:00,31.0,1.67,1.63,1.7,-0.21000004,-11.170216,160.0,4618,0.6274451318359376,False,REGULAR,USD,160.0,28.8625,0.07000000000000006,SOFI,2026-03-20
SOFI260320C00033000,2026-01-09 19:44:07+00:00,33.0,1.17,1.15,1.2,-0.23000002,-16.428574,91.0,3551,0.6250037500000001,False,REGULAR,USD,91.0,39.02197802197802,0.050000000000000044,SOFI,2026-03-20
SOFI260320C00035000,2026-01-09 20:57:38+00:00,35.0,0.83,0.81,0.85,-0.120000005,-12.63158,761.0,14799,0.6269568554687501,False,REGULAR,USD,761.0,19.446780551905388,0.039999999999999925,SOFI,2026-03-20
TD260220C00095000,2026-01-09 20:27:41+00:00,95.0,1.85,1.95,2.05,0.01999998,1.0928952,100.0,768,0.1914143359375,False,REGULAR,USD,100.0,7.68,0.09999999999999987,TD,2026-02-20
TSLA260320C00485000,2026-01-09 20:38:39+00:00,485.0,22.1,21.85,21.95,2.7000008,13.91753,105.0,540,0.4845022253417969,False,REGULAR,USD,105.0,5.142857142857143,0.09999999999999787,TSLA,2026-03-20
TSLA260320C00510000,2026-01-09 20:58:23+00:00,510.0,15.55,15.5,15.6,1.6500006,11.870508,433.0,2226,0.4877065390014649,False,REGULAR,USD,433.0,5.140877598152425,0.09999999999999964,TSLA,2026-03-20
TSLA260320C00520000,2026-01-09 20:59:36+00:00,520.0,13.56,13.5,13.6,1.4100008,11.604945,147.0,2691,0.4896596444702149,False,REGULAR,USD,147.0,18.306122448979593,0.09999999999999964,TSLA,2026-03-20
TSLA260320C00530000,2026-01-09 20:58:34+00:00,530.0,11.74,11.8,11.9,1.2399998,11.809522,206.0,2737,0.4926198199462891,False,REGULAR,USD,206.0,13.28640776699029,0.09999999999999964,TSLA,2026-03-20
TSLA260320C00540000,2026-01-09 20:20:00+00:00,540.0,10.4,10.3,10.4,1.25,13.661202,125.0,3283,0.49539689178466795,False,REGULAR,USD,125.0,26.264,0.09999999999999964,TSLA,2026-03-20
TSLA260320C00550000,2026-01-09 20:58:52+00:00,550.0,9.0,9.0,9.1,0.8999996,11.111106,1235.0,6917,0.4984486190795898,False,REGULAR,USD,1235.0,5.600809716599191,0.09999999999999964,TSLA,2026-03-20
TSLA260320C00600000,2026-01-09 20:56:47+00:00,600.0,4.69,4.7,4.8,0.38999987,9.069764,885.0,12712,0.5153857055664062,False,REGULAR,USD,885.0,14.363841807909605,0.09999999999999964,TSLA,2026-03-20
TSLA260320C00640000,2026-01-09 20:17:53+00:00,640.0,2.93,2.92,2.96,0.13000011,4.6428614,78.0,1264,0.5314377911376953,False,REGULAR,USD,78.0,16.205128205128204,0.040000000000000036,TSLA,2026-03-20
TSLA260320C00650000,2026-01-09 20:49:36+00:00,650.0,2.62,2.61,2.65,0.21999979,9.166658,285.0,6429,0.5358933129882812,False,REGULAR,USD,285.0,22.557894736842105,0.040000000000000036,TSLA,2026-03-20
TSLA260320C00680000,2026-01-09 20:59:39+00:00,680.0,1.92,1.89,1.93,0.00999999,0.5235597,71.0,1111,0.5494429821777345,False,REGULAR,USD,71.0,15.647887323943662,0.040000000000000036,TSLA,2026-03-20
TSLA260320C00700000,2026-01-09 20:58:33+00:00,700.0,1.56,1.55,1.58,0.03999996,2.6315765,538.0,11509,0.5587202331542969,False,REGULAR,USD,538.0,21.392193308550187,0.030000000000000027,TSLA,2026-03-20
TSLA260320C00740000,2026-01-09 17:51:51+00:00,740.0,1.08,1.06,1.1,0.05000007,4.854376,70.0,899,0.577152666015625,False,REGULAR,USD,70.0,12.842857142857143,0.040000000000000036,TSLA,2026-03-20
TSLA260320C00990000,2026-01-09 20:53:25+00:00,990.0,0.2,0.17,0.21,-0.00999999,-4.7619004,244.0,2842,0.6806672558593752,False,REGULAR,USD,244.0,11.647540983606557,0.03999999999999998,TSLA,2026-03-20
UEC260320C00017000,2026-01-09 20:05:14+00:00,17.0,1.32,1.28,1.33,0.120000005,10.0,58.0,1272,0.8281267187499999,False,REGULAR,USD,58.0,21.93103448275862,0.050000000000000044,UEC,2026-03-20
USB260320C00057500,2026-01-09 20:56:17+00:00,57.5,1.43,1.38,1.47,-0.22000003,-13.333336,143.0,4913,0.25220474365234374,False,REGULAR,USD,143.0,34.35664335664335,0.09000000000000008,USB,2026-03-20
UUUU260220C00025000,2026-01-09 20:42:44+00:00,25.0,0.66,0.6,0.68,-0.109999955,-14.285709,123.0,1289,1.0107471337890623,False,REGULAR,USD,123.0,10.479674796747968,0.08000000000000007,UUUU,2026-02-20
VALE260320C00014000,2026-01-09 19:48:02+00:00,14.0,0.68,0.67,0.7,-0.01999998,-2.8571403,897.0,16870,0.29688203124999996,False,REGULAR,USD,897.0,18.807134894091416,0.029999999999999916,VALE,2026-03-20
VALE260320C00020000,2026-01-09 14:50:29+00:00,20.0,0.04,0.02,0.04,0.01,33.333336,100.0,1744,0.44922425781249997,False,REGULAR,USD,100.0,17.44,0.02,VALE,2026-03-20
WBD260320C00031000,2026-01-09 18:59:12+00:00,31.0,0.54,0.55,0.59,0.04000002,8.000004,374.0,17175,0.27197993652343744,False,REGULAR,USD,374.0,45.92245989304813,0.039999999999999925,WBD,2026-03-20
WBD260320C00035000,2026-01-09 18:10:32+00:00,35.0,0.11,0.1,0.15,0.019999996,22.222216,502.0,7861,0.31250687499999996,False,REGULAR,USD,502.0,15.659362549800797,0.04999999999999999,WBD,2026-03-20
WMT260320C00125000,2026-01-09 20:56:53+00:00,125.0,1.52,1.5,1.56,0.120000005,8.571429,410.0,8673,0.2525709509277344,False,REGULAR,USD,410.0,21.153658536585365,0.06000000000000005,WMT,2026-03-20
WULF260320C00013000,2026-01-09 20:41:37+00:00,13.0,2.17,2.18,2.26,0.08000016,3.8277593,234.0,3948,0.9726565234375,True,REGULAR,USD,234.0,16.871794871794872,0.07999999999999963,WULF,2026-03-20
WULF260320C00014000,2026-01-09 20:49:59+00:00,14.0,1.81,1.82,1.85,0.119999886,7.1005845,1120.0,9798,0.97460962890625,False,REGULAR,USD,1120.0,8.748214285714285,0.030000000000000027,WULF,2026-03-20
WULF260320C00020000,2026-01-09 20:20:21+00:00,20.0,0.51,0.48,0.56,0.01999998,4.081629,280.0,1406,0.954102021484375,False,REGULAR,USD,280.0,5.021428571428571,0.08000000000000007,WULF,2026-03-20
WYNN260320C00195000,2025-12-02 20:40:10+00:00,195.0,0.8,0.0,0.0,0.0,0.0,200.0,1513,0.2500075,False,REGULAR,USD,200.0,7.565,0.0,WYNN,2026-03-20
